Index,Age,Player,Pos,Tm,G,GS,eFG%,FT%,TRBPG,ASTPG,STLPG,BLKPG,TOVPG,PFPG,PPG,MPG,Star,Active
346,27.0,Cameron Johnson,PF,BRK,58.0,47.0,55.7,78.9,4.327586206896552,2.3793103448275863,0.8448275862068966,0.25862068965517243,0.9827586206896551,1.8103448275862069,13.379310344827585,27.56896551724138,0,1
529,29.0,Cameron Payne,PG,TOT,78.0,10.0,54.1,86.6,1.5,2.628205128205128,0.5384615384615384,0.14102564102564102,0.8461538461538461,1.6153846153846154,7.410256410256411,16.71794871794872,0,1
385,29.0,Caris LeVert,SG,CLE,68.0,10.0,48.699999999999996,76.6,4.117647058823529,5.088235294117647,1.1176470588235294,0.5,1.7205882352941178,1.7794117647058822,14.0,28.794117647058822,0,1
703,20.0,Cason Wallace,SG,OKC,82.0,13.0,60.199999999999996,78.4,2.2804878048780486,1.4634146341463414,0.926829268292683,0.45121951219512196,0.5487804878048781,1.5731707317073171,6.841463414634147,20.634146341463413,0,1
526,28.0,Cedi Osman,SF,SAS,72.0,3.0,59.099999999999994,67.30000000000001,2.5,1.6527777777777777,0.5,0.1527777777777778,0.6527777777777778,1.4861111111111112,6.791666666666667,17.625,0,1
311,21.0,Chet Holmgren,C,OKC,82.0,82.0,59.8,79.3,7.902439024390244,2.4390243902439024,0.6463414634146342,2.317073170731707,1.5975609756097562,2.402439024390244,16.548780487804876,29.426829268292682,1,1
449,26.0,Chimezie Metu,C,TOT,51.0,12.0,56.10000000000001,90.60000000000001,3.803921568627451,0.9019607843137255,0.8431372549019608,0.3137254901960784,1.0196078431372548,1.392156862745098,6.509803921568627,16.84313725490196,0,1
85,31.0,Chris Boucher,PF,TOR,50.0,0.0,57.8,77.2,4.14,0.46,0.28,0.48,0.56,1.36,6.44,14.1,0,1
183,26.0,Chris Duarte,SF,SAC,59.0,11.0,48.6,78.8,1.7966101694915255,0.7457627118644068,0.4745762711864407,0.13559322033898305,0.4406779661016949,1.3559322033898304,3.8983050847457625,12.186440677966102,0,1
528,38.0,Chris Paul,PG,GSW,58.0,18.0,52.5,82.69999999999999,3.8793103448275863,6.775862068965517,1.206896551724138,0.10344827586206896,1.3103448275862069,1.8620689655172413,9.189655172413794,26.396551724137932,0,1
91,22.0,Christian Braun,SG,DEN,82.0,4.0,52.5,69.39999999999999,3.731707317073171,1.6097560975609757,0.5121951219512195,0.4268292682926829,0.6707317073170732,1.670731707317073,7.317073170731708,20.182926829268293,0,1
752,28.0,Christian Wood,PF,LAL,50.0,1.0,53.2,70.19999999999999,5.08,0.98,0.32,0.66,1.0,1.44,6.94,17.44,0,1
